"idAlerta","componente","fkRegistro"
1238,"cpu",1787
1239,"cpu",1791
1240,"cpu",1792
1241,"cpu",1794
1242,"cpu",1797
1243,"cpu",1799
1244,"cpu",1803
1245,"cpu",1808
1246,"cpu",1811
1247,"cpu",1812
1248,"cpu",1819
1249,"cpu",1820
1250,"cpu",1827
1251,"cpu",1830
1252,"cpu",1836
1253,"cpu",1838
1254,"cpu",1843
1255,"cpu",1846
1256,"cpu",1850
1257,"cpu",1853
1258,"cpu",1858
1259,"cpu",1859
1260,"cpu",1860
1261,"cpu",1862
1262,"cpu",1864
1263,"cpu",1866
1264,"cpu",1868
1265,"cpu",1871
1266,"cpu",1873
1267,"cpu",1875
1268,"cpu",1877
1269,"cpu",1878
1270,"cpu",1880
1271,"cpu",1881
1272,"cpu",1885
1273,"cpu",1887
1274,"cpu",1888
1275,"cpu",1890
1276,"cpu",1891
1277,"cpu",1896
1278,"cpu",1903
1279,"cpu",1911
1280,"cpu",1915
1281,"cpu",1921
1282,"cpu",1929
1283,"cpu",1933
1284,"cpu",1934
1285,"cpu",1936
1286,"cpu",1937
1287,"cpu",1939
1288,"cpu",1940
1289,"cpu",1944
1290,"cpu",1945
1291,"cpu",1958
1292,"cpu",1961
1293,"cpu",1963
1294,"cpu",1964
1295,"cpu",1965
1296,"cpu",1966
1297,"cpu",1974
1298,"cpu",1980
1299,"cpu",1983
1300,"cpu",1992
1301,"cpu",1995
1302,"cpu",2003
1303,"cpu",2005
1304,"cpu",2009
1305,"cpu",2011
1306,"cpu",2013
1307,"cpu",2015
1308,"cpu",2019
1309,"cpu",2022
1310,"cpu",2028
1311,"cpu",2030
1312,"cpu",2033
1313,"cpu",2044
1314,"cpu",2046
1315,"cpu",2047
1316,"cpu",2048
1317,"cpu",2050
1318,"cpu",2054
1319,"cpu",2056
1320,"cpu",2057
1321,"cpu",2058
1322,"cpu",2061
1323,"cpu",2066
1324,"cpu",2067
1325,"cpu",2071
1326,"cpu",2076
1327,"cpu",2077
1328,"cpu",2080
1329,"cpu",2092
1330,"cpu",2097
1331,"cpu",2109
1332,"cpu",2111
1333,"cpu",2112
1334,"cpu",2122
1335,"cpu",2124
1336,"cpu",2131
1337,"cpu",2132
1338,"cpu",2133
1339,"cpu",2135
1340,"cpu",2140
1341,"cpu",2142
1342,"cpu",2143
1343,"cpu",2144
1344,"cpu",2146
1345,"cpu",2148
1346,"cpu",2154
1347,"cpu",2157
1348,"cpu",2161
1349,"cpu",2163
1350,"cpu",2166
1351,"cpu",2168
1352,"cpu",2173
1353,"cpu",2176
1354,"cpu",2177
1355,"cpu",2184
1356,"cpu",2200
1357,"cpu",2201
1358,"cpu",2206
1359,"cpu",2213
1360,"cpu",2216
1361,"cpu",2219
1362,"cpu",2221
1363,"cpu",2222
1364,"cpu",2223
1365,"cpu",2226
1366,"cpu",2228
1367,"cpu",2229
1368,"cpu",2230
1369,"cpu",2231
1370,"cpu",2236
1371,"cpu",2239
1372,"cpu",2242
1373,"cpu",2243
1374,"cpu",2248
1375,"cpu",2249
1376,"cpu",2251
1377,"cpu",2255
1378,"cpu",2261
1379,"cpu",2262
1380,"cpu",2264
1381,"cpu",2265
1382,"cpu",2266
1383,"cpu",2267
1384,"cpu",2269
1385,"cpu",2270
1386,"cpu",2271
1387,"cpu",2278
1388,"cpu",2280
1389,"cpu",2282
1390,"cpu",2284
1391,"cpu",2286
1392,"cpu",2290
1393,"cpu",2295
1394,"cpu",2305
1395,"cpu",2307
1396,"cpu",2311
1397,"cpu",2314
1398,"cpu",2315
1399,"cpu",2317
1400,"cpu",2322
1401,"cpu",2325
1402,"cpu",2329
1403,"cpu",2330
1404,"cpu",2342
1405,"cpu",2344
1406,"cpu",2346
1407,"cpu",2348
1408,"cpu",2355
1409,"cpu",2361
1410,"cpu",2366
1411,"cpu",2373
1412,"cpu",2374
1413,"cpu",2378
1414,"cpu",2393
1415,"cpu",2394
1416,"cpu",2397
1417,"cpu",2398
1418,"cpu",2399
1419,"cpu",2400
1420,"cpu",2406
1421,"cpu",2407
1422,"cpu",2410
1423,"cpu",2414
1424,"cpu",2420
1425,"cpu",2429
1426,"cpu",2432
1427,"cpu",2433
1428,"cpu",2440
1429,"cpu",2443
1430,"cpu",2458
