"idAlerta","componente","fkRegistro"
1849,"ram",2381
1850,"ram",2390
1851,"ram",2391
1852,"ram",2394
1853,"ram",2400
1854,"ram",2407
1855,"ram",2410
1856,"ram",2415
1857,"ram",2416
1858,"ram",2420
1859,"ram",2423
1860,"ram",2425
1861,"ram",2427
1862,"ram",2444
1863,"ram",2450
1864,"ram",2451
1865,"ram",2454
1866,"ram",2455
1867,"ram",2456
1868,"ram",2462
